ID,Name,Sprint,Weeks,Wave,Lane,Priority,Color,Modes,Dependencies,Exit Criteria,Owner,Status,Start (Sprint),End (Sprint)
A,api-gateway,4,7–8,Wave 3 — Edge/Auth + GTM,Edge,P1,#FB8C00,All,"R, B",Routes 80/443; JWT verify; RLS wired; basic WAF; OTel spans,TBD,Not Started,4,4
B,auth-service,4,7–8,Wave 3 — Edge/Auth + GTM,Edge,P1,#FB8C00,All,,Realm seeded; JWKS live; login flow p95 < 300ms; audit export on,TBD,Not Started,4,4
R,rate-limit-service,4,7–8,Wave 3 — Edge/Auth + GTM,Edge,P1,#FB8C00,All,,gRPC RLS serving decisions; per-route policies loaded; burst multiplier,TBD,Not Started,4,4
Q,authz-matrix-service,4,7–8,Wave 3 — Edge/Auth + GTM,Quality,P1,#FB8C00,All,G,RBAC matrix → middleware/tests; IDOR scan on top routes returns clean,TBD,Not Started,4,4
Y,legal-automator-service,4,7–8,Wave 3 — Edge/Auth + GTM,GTM/Compliance,P1,#FB8C00,All,,Privacy/ToS/cookie generated; consent logs persisted,TBD,Not Started,4,4
AA,billing-service,4,7–8,Wave 3 — Edge/Auth + GTM,GTM,P1,#FB8C00,All,,Plans live; first test payment success; webhooks handled,TBD,Not Started,4,4
W,positioning-engine-service,4,7–8,Wave 3 — Edge/Auth + GTM,GTM,P1,#FB8C00,All,,Outcome-first copy for 1 vertical; headline/subhead pairs generated,TBD,Not Started,4,4
X,launch-engine-service,4,7–8,Wave 3 — Edge/Auth + GTM,GTM,P1,#FB8C00,All,,Channel calendar + UTM checker; one launch brief produced,TBD,Not Started,4,4
AC,webhook-relay-service,4,7–8,Wave 3 — Edge/Auth + GTM,Platform,P1,#FB8C00,All,,Signed webhooks with retry/backoff; DLQ visible,TBD,Not Started,4,4
T,perf-coach-service,4,7–8,Wave 3 — Edge/Auth + GTM,Quality,P1,#FB8C00,All,G,EXPLAIN analyzer returns recs; N+1 detector demo on sample app,TBD,Not Started,4,4
I,ai-debugger-service,5,9–10,Wave 4 — Depth & Delight,Insights,P2,#3949AB,All,S,"Given a failing trace, minimal repro artifact downloadable in FE",TBD,Not Started,5,5
J,scaffold-secure-service,5,9–10,Wave 4 — Depth & Delight,Platform,P2,#3949AB,All,,Next/Prisma secure template tarball available in registry,TBD,Not Started,5,5
U,finops-service,5,9–10,Wave 4 — Depth & Delight,Insights,P2,#3949AB,All,,Cost ingest + anomaly alert stub; basic 30/60/90 forecast,TBD,Not Started,5,5
Z,motivation-engine-service,5,9–10,Wave 4 — Depth & Delight,Growth,P2,#3949AB,All,,Nudges fired on drift; ship streaks visible in dashboard,TBD,Not Started,5,5
